--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
057.421  000.001  000.001: sourcing nvim_exec2() called at /Users/I569398/.config/nvim/init.lua:0
057.423  000.001  000.001: sourcing nvim_exec2() called at /Users/I569398/.config/nvim/init.lua:0
057.424  000.001  000.001: sourcing nvim_exec2() called at /Users/I569398/.config/nvim/init.lua:0
057.426  000.001  000.001: sourcing nvim_exec2() called at /Users/I569398/.config/nvim/init.lua:0
057.428  000.001  000.001: sourcing nvim_exec2() called at /Users/I569398/.config/nvim/init.lua:0
057.429  000.001  000.001: sourcing nvim_exec2() called at /Users/I569398/.config/nvim/init.lua:0
057.430  000.001  000.001: sourcing nvim_exec2() called at /Users/I569398/.config/nvim/init.lua:0
057.431  000.001  000.001: sourcing nvim_exec2() called at /Users/I569398/.config/nvim/init.lua:0
057.433  000.001  000.001: sourcing nvim_exec2() called at /Users/I569398/.config/nvim/init.lua:0
057.434  000.001  000.001: sourcing nvim_exec2() called at /Users/I569398/.config/nvim/init.lua:0
058.670  000.200  000.200: require('plenary.log')
058.679  000.356  000.157: require('telescope.log')
058.865  000.185  000.185: require('telescope.state')
058.876  000.731  000.190: require('telescope.utils')
058.877  000.891  000.160: require('telescope.previewers.previewer')
059.447  000.190  000.190: require('telescope.deprecated')
059.614  000.167  000.167: require('telescope.sorters')
060.331  001.266  000.910: require('telescope.config')
060.526  000.195  000.195: require('telescope.from_entry')
060.826  000.144  000.144: require('plenary.context_manager')
062.290  000.181  000.181: require('nvim-treesitter.utils')
063.247  000.163  000.163: require('vim.treesitter.language')
063.409  000.161  000.161: require('vim.func')
063.587  000.175  000.175: require('vim.func._memoize')
063.603  000.690  000.190: require('vim.treesitter.query')
063.776  000.172  000.172: require('vim.treesitter._range')
063.792  001.062  000.200: require('vim.treesitter.languagetree')
063.796  001.240  000.178: require('vim.treesitter')
064.155  001.865  000.625: require('nvim-treesitter.parsers')
064.860  000.172  000.172: require('nvim-treesitter.compat')
065.232  000.201  000.201: require('nvim-treesitter.ts_utils')
065.235  000.374  000.173: require('nvim-treesitter.tsrange')
065.394  000.158  000.158: require('nvim-treesitter.caching')
065.399  000.891  000.186: require('nvim-treesitter.query')
065.409  001.085  000.195: require('nvim-treesitter.configs')
065.411  001.255  000.169: require('nvim-treesitter.info')
065.596  000.184  000.184: require('nvim-treesitter.shell_command_selectors')
065.611  003.693  000.208: require('nvim-treesitter.install')
065.774  000.163  000.163: require('nvim-treesitter.statusline')
065.974  000.199  000.199: require('nvim-treesitter.query_predicates')
065.975  004.443  000.388: require('nvim-treesitter')
066.170  000.193  000.193: require('vim.iter')
066.542  005.166  000.530: sourcing /Users/I569398/.local/share/nvim/lazy/nvim-treesitter/plugin/nvim-treesitter.lua
066.546  005.316  000.150: sourcing nvim_exec2() called at /Users/I569398/.config/nvim/init.lua:0
066.549  000.001  000.001: sourcing nvim_exec2() called at /Users/I569398/.config/nvim/init.lua:0
066.554  000.001  000.001: sourcing nvim_exec2() called at /Users/I569398/.config/nvim/init.lua:0
066.802  000.164  000.164: require('nvim-treesitter.highlight')
066.807  005.980  000.499: require('nvim-treesitter')
066.809  006.282  000.159: require('telescope.previewers.utils')
066.857  007.979  000.236: require('telescope.previewers.term_previewer')
067.946  000.871  000.871: require('plenary.filetype')
069.258  001.312  001.312: require('plenary.scandir')
069.313  002.455  000.272: require('telescope.previewers.buffer_previewer')
069.314  011.509  000.183: require('telescope.previewers')
069.500  000.184  000.184: require('octo.notifications')
069.835  000.335  000.335: require('octo.workflow_runs')
069.885  012.233  000.205: require('octo.pickers.telescope.previewers')
070.664  000.217  000.217: require('telescope.config.resolve')
070.666  000.571  000.354: require('telescope.pickers.entry_display')
070.668  000.782  000.211: require('octo.pickers.telescope.entry_maker')
071.190  000.149  000.149: require('plenary.window')
071.334  000.143  000.143: require('plenary.popup.utils')
071.336  000.458  000.165: require('plenary.popup')
071.486  000.150  000.150--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.000  000.000: --- NVIM STARTING ---
000.090  000.089: event init
000.204  000.115: early init
000.558  000.354: locale set
000.583  000.025: init first window
000.905  000.322: inits 1
